title,year,role,name
The Wanderer (1925 film),1925,star,Wallace Beery
Loitering with Intent (film),2014,star,Sam Rockwell
Loitering with Intent (film),2014,star,Marisa Tomei
Mortdecai (film),2015,star,Johnny Depp
Mortdecai (film),2015,star,Gwyneth Paltrow
Magic in the Moonlight,2014,star,Colin Firth
Magic in the Moonlight,2014,star,Marcia Gay Harden
Magic in the Moonlight,2014,star,Emma Stone
Magic in the Moonlight,2014,star,Jacki Weaver
Magic in the Moonlight,2014,director,Woody Allen
No Questions Asked (film),1951,star,Jean Hagen
The Barbarian (1920 film),1920,director,Donald Crisp
City Across the River,1949,star,Thelma Ritter
City Across the River,1949,cast,Tony Curtis
City Across the River,1949,cast,Richard Jaeckel
Strange Bargain,1949,star,Martha Scott
Illegal Entry (film),1949,cast,Tom Tully
Take One False Step,1949,star,William Powell
Take One False Step,1949,star,Shelley Winters
Take One False Step,1949,cast,James Gleason
Stonehearst Asylum,2014,star,Ben Kingsley
Stonehearst Asylum,2014,star,Michael Caine
Watch the Shadows Dance,1987,star,Nicole Kidman
American Heist,2014,star,Adrien Brody
Monster Trucks (film),2016,star,Amy Ryan
As Luck Would Have It,2011,star,Salma Hayek
The Inevitable Defeat of Mister & Pete,2013,star,Jennifer Hudson
Into the Grizzly Maze,2015,star,Billy Bob Thornton
There Goes the Groom (film),1937,star,Ann Sothern
There Goes the Groom (film),1937,star,Burgess Meredith
I've Always Loved You,1946,star,Maria Ouspenskaya
I've Always Loved You,1946,director,Frank Borzage
That's My Man,1947,star,Don Ameche
That's My Man,1947,director,Frank Borzage
Old Los Angeles,1948,star,Joseph Schildkraut
The Solitaire Man,1933,star,May Robson
The Turning (2013 film),2013,star,Cate Blanchett
813 (film),1920,star,Wallace Beery
Jimi: All Is by My Side,2013,cast,Ruth Negga
Six Men Getting Sick (Six Times),1967,director,David Lynch
Conquest of Cochise,1953,star,Robert Stack
Cold in July (film),2014,star,Sam Shepard
Final Girl (film),2015,star,Abigail Breslin
The Love Punch,2013,star,Emma Thompson
Supermensch: The Legend of Shep Gordon,2013,cast,Michael Douglas
Supermensch: The Legend of Shep Gordon,2013,cast,Sylvester Stallone
Into the Woods (film),2014,star,Meryl Streep
Into the Woods (film),2014,star,Anna Kendrick
Into the Woods (film),2014,star,Johnny Depp
Into the Woods (film),2014,director,Rob Marshall
Trash (2014 film),2014,star,Rooney Mara
Trash (2014 film),2014,director,Stephen Daldry
Waiting for Woody,1998,cast,George Clooney
Cymbeline (film),2014,star,Ethan Hawke
Cymbeline (film),2014,star,Ed Harris
Bad Words (film),2013,star,Allison Janney
Half of a Yellow Sun (film),2013,star,Chiwetel Ejiofor
The Trials of Cate McCall,2013,star,Nick Nolte
The Trials of Cate McCall,2013,cast,James Cromwell
Black Sea (film),2014,star,Jude Law
One Chance (film),2013,star,Julie Walters
The Pirate Fairy,2014,star,Anjelica Huston
"Rich Man, Poor Girl",1938,star,Lew Ayres
"Rich Man, Poor Girl",1938,star,Ruth Hussey
"Rich Man, Poor Girl",1938,cast,Lana Turner
Felony (film),2013,star,Tom Wilkinson
Under the Gun (1951 film),1951,cast,Sam Jaffe
The Scarf (film),1951,star,Mercedes McCambridge
Le Week-End,2013,star,Jim Broadbent
Ride (2014 film),2014,star,Helen Hunt
Ride (2014 film),2014,star,Helen Hunt
Fifty Shades of Grey (film),2015,star,Marcia Gay Harden
A Wicked Woman,1934,star,Charles Bickford
Better Living Through Chemistry (film),2014,star,Sam Rockwell
Better Living Through Chemistry (film),2014,star,Jane Fonda
Grotesque (1988 film),1988,star,Linda Blair
A Million Ways to Die in the West,2014,star,Charlize Theron
A Million Ways to Die in the West,2014,star,Liam Neeson
A Million Ways to Die in the West,2014,cast,Jamie Foxx
Every Thing Will Be Fine,2015,star,James Franco
Every Thing Will Be Fine,2015,star,Rachel McAdams
Young Ones (film),2014,star,Michael Shannon
Little Accidents,2014,star,Chloë Sevigny
Coming Apart (film),1969,star,Rip Torn
Coming Apart (film),1969,star,Sally Kirkland
Words and Pictures (film),2013,star,Clive Owen
Words and Pictures (film),2013,star,Juliette Binoche
Words and Pictures (film),2013,cast,Bruce Davison
Lucky Them,2013,star,Toni Collette
Lucky Them,2013,star,Thomas Haden Church
Lucky Them,2013,cast,Joanne Woodward
Lucky Them,2013,cast,Johnny Depp
Rock the Casbah (2013 film),2013,cast,Omar Sharif
Unforgiven (2013 film),2013,star,Ken Watanabe
The Imitation Game,2014,star,Benedict Cumberbatch
The Imitation Game,2014,star,Keira Knightley
The Imitation Game,2014,director,Morten Tyldum
"Happy Mother's Day, Love George",1973,star,Patricia Neal
"Happy Mother's Day, Love George",1973,star,Cloris Leachman
"Happy Mother's Day, Love George",1973,star,Bobby Darin
"Happy Mother's Day, Love George",1973,cast,Ron Howard
The Flame (1947 film),1947,star,Broderick Crawford
The Flame (1947 film),1947,cast,Henry Travers
The Flame (1947 film),1947,cast,Hattie McDaniel
Made in America (2013 film),2013,director,Ron Howard
Hotell,2013,star,Alicia Vikander
Sleeping Acres,1921,star,Wallace Beery
Tillie's Tomato Surprise,1915,star,Marie Dressler
Tillie Wakes Up,1917,star,Marie Dressler
The Power Inside,2013,star,Harvey Keitel
C.O.G.,2013,star,Dean Stockwell
Two Lives (film),2012,cast,Liv Ullmann
Breathe In (film),2013,star,Felicity Jones
Breathe In (film),2013,star,Amy Ryan
Storm Fear,1955,star,Cornel Wilde
Storm Fear,1955,cast,Lee Grant
Storm Fear,1955,star,Cornel Wilde
Cry Vengeance,1954,star,Martha Hyer
Between Midnight and Dawn,1950,star,Edmond O'Brien
Shakedown (1950 film),1950,star,Brian Donlevy
Hoodlum Empire,1952,star,Brian Donlevy
Hoodlum Empire,1952,star,Claire Trevor
Hoodlum Empire,1952,cast,Gene Lockhart
Hoodlum Empire,1952,cast,Richard Jaeckel
Red American,1991,star,Burt Young
Carnera: The Walking Mountain,2008,cast,F. Murray Abraham
Carnera: The Walking Mountain,2008,cast,Burt Young
Short Cut to Hell,1957,director,James Cagney
Coffin Baby,2013,star,Bruce Dern
Larceny (1948 film),1948,star,Shelley Winters
Larceny (1948 film),1948,cast,Dan O'Herlihy
Mr. Holmes,2015,star,Ian McKellen
Mr. Holmes,2015,star,Laura Linney
The Steagle,1971,star,Chill Wills
The Steagle,1971,star,Cloris Leachman
The Steagle,1971,cast,Susan Tyrrell
The Steagle,1971,cast,Diane Ladd
The Sellout (film),1952,star,Walter Pidgeon
The Sellout (film),1952,cast,Thomas Gomez
The Sellout (film),1952,cast,Karl Malden
Rio (1939 film),1939,star,Basil Rathbone
Rio (1939 film),1939,star,Victor McLaglen
The Runaway (1926 film),1926,star,Warner Baxter
The Runaway (1926 film),1926,star,William Powell
Young Eagles (film),1930,star,Jean Arthur
Young Eagles (film),1930,star,Paul Lukas
Young Eagles (film),1930,cast,Stuart Erwin
Young Eagles (film),1930,director,William A. Wellman
At Middleton,2013,star,Vera Farmiga
The Amateur Gentleman (1926 film),1926,star,Richard Barthelmess
The Greene Murder Case (film),1929,star,William Powell
The Greene Murder Case (film),1929,star,Jean Arthur
The Cardboard Lover,1928,director,Robert Z. Leonard
Gardenia (film),1979,star,Martin Balsam
Passion Flower (1930 film),1930,star,Charles Bickford
Passion Flower (1930 film),1930,cast,Lewis Stone
Passion Flower (1930 film),1930,cast,Ray Milland
The Passion Flower,1921,director,Herbert Brenon
Second Hand Love,1923,director,William Wellman
The Man Who Won,1923,director,William Wellman
Not a Drum Was Heard,1924,director,William Wellman
The Vagabond Trail,1924,director,William A. Wellman
Cupid's Fireman,1923,director,William Wellman
The Circus Cowboy,1924,director,William A. Wellman
Reaching for the Sun,1941,director,William A. Wellman
Free and Easy (1930 film),1930,cast,Lionel Barrymore
Free and Easy (1930 film),1930,cast,Cecil B. DeMille
Pudsey the Dog: The Movie,2014,star,Olivia Colman
Hamlet (1961 film),1961,star,Maximilian Schell
When Doctors Disagree,1919,director,Victor Schertzinger
Paddington (film),2014,star,Sally Hawkins
Paddington (film),2014,star,Julie Walters
Paddington (film),2014,star,Jim Broadbent
Paddington (film),2014,star,Nicole Kidman
Paddington (film),2014,cast,Imelda Staunton
Tusk (2014 film),2014,star,Haley Joel Osment
Tusk (2014 film),2014,cast,Johnny Depp
Earthbound (1940 film),1940,star,Warner Baxter
Earthbound (1940 film),1940,star,Andrea Leeds
Anita (2009 film),2009,star,Norma Aleandro
The Come On,1956,star,Anne Baxter
Secrets of a Windmill Girl,1966,star,Pauline Collins
Sis Hopkins (1941 film),1941,star,Susan Hayward
Blue (1968 film),1968,star,Terence Stamp
Blue (1968 film),1968,star,Karl Malden
Blue (1968 film),1968,cast,Sally Kirkland
The Price of Fear (1956 film),1956,star,Merle Oberon
The Manchu Eagle Murder Caper Mystery,1975,cast,Vincent Gardenia
Ed and His Dead Mother,1993,star,Ned Beatty
The Wedding Ringer,2015,star,Cloris Leachman
Siberian Education,2013,star,John Malkovich
Filth (film),2013,star,Jim Broadbent
Generation Iron,2013,cast,Mickey Rourke
Big Momma's House,2000,star,Paul Giamatti
Big Momma's House,2000,star,Terrence Howard
Big Momma's House,2000,cast,Octavia Spencer
Symphony of Six Million,1932,star,Irene Dunne
Symphony of Six Million,1932,director,Gregory La Cava
Three Days of Rain (film),2002,cast,Peter Falk
Freshman Love,1936,cast,Jane Wyman
Queen of Carthage,2014,cast,Keisha Castle-Hughes
The Corpse Came C.O.D.,1947,star,Joan Blondell
Bounty Killer (film),2013,cast,Gary Busey
Their First Misunderstanding,1911,star,Mary Pickford
As Man Desires,1925,director,Irving Cummings
As Man Desires,1925,director,Irving Cummings
Uncle Tom's Cabin (1914 film),1914,cast,Irving Cummings
Basmati Blues,2017,star,Brie Larson
Fallen Angels (2008 film),2008,director,Morten Tyldum
Penthouse North,2013,star,Michael Keaton
Time and the Wind,2013,star,Fernanda Montenegro
The Arizona Kid (1930 film),1930,star,Warner Baxter
The Arizona Kid (1930 film),1930,star,Carole Lombard
The Hunger Games (film series),2012,star,Jennifer Lawrence
The Hunger Games (film series),2012,star,Woody Harrelson
The Hunger Games (film series),2012,star,Stanley Tucci
London Fields (film),2018,star,Billy Bob Thornton
Sal (film),2011,star,James Franco
Sal (film),2011,star,James Franco
Too Much Johnson (1919 film),1919,director,Donald Crisp
La Parisienne (film),1957,star,Charles Boyer
The Wait (2013 film),2013,star,Chloë Sevigny
The Wait (2013 film),2013,cast,Michael O'Keefe
The Wait (2013 film),2013,cast,Patricia Arquette
La suerte en tus manos,2012,star,Norma Aleandro
The House of Discord,1913,star,Lionel Barrymore
Oddball Hall,1991,star,Don Ameche
Oddball Hall,1991,star,Burgess Meredith
All Is Bright,2013,star,Paul Giamatti
All Is Bright,2013,star,Sally Hawkins
The Prince of Thieves,1948,cast,H. B. Warner
Steel and Lace,1991,star,Bruce Davison
Lucy (2014 film),2014,star,Scarlett Johansson
Lucy (2014 film),2014,star,Morgan Freeman
Gingerclown,2013,cast,Brad Dourif
White Dwarf (film),1995,star,Paul Winfield
Aftershock (1990 film),1990,cast,Russ Tamblyn
Trapped Ashes,2006,director,Ken Russell
Maggie (film),2015,star,Abigail Breslin
Gingerdead Man vs. Evil Bong,2013,cast,Gary Busey
The Last Will and Testament of Rosalind Leigh,2012,star,Vanessa Redgrave
Dead in Tombstone,2013,star,Mickey Rourke
Casting By,2012,star,Woody Allen
Casting By,2012,star,Jeff Bridges
Casting By,2012,star,Glenn Close
Casting By,2012,star,Robert De Niro
Casting By,2012,star,Richard Dreyfuss
Casting By,2012,star,Robert Duvall
Casting By,2012,star,Clint Eastwood
Casting By,2012,star,Diane Lane
Casting By,2012,star,Bette Midler
Casting By,2012,star,Al Pacino
Casting By,2012,star,Robert Redford
Casting By,2012,star,Martin Scorsese
Casting By,2012,star,John Travolta
Casting By,2012,star,Jon Voight
Seven Faces,1929,star,Paul Muni
Johnny Skidmarks,1998,star,Frances McDormand
Johnny Skidmarks,1998,star,John Lithgow
Pawn (film),2013,star,Forest Whitaker
Redeemer (2004 film),2004,star,Fernanda Montenegro
Pictura: An Adventure in Art,1951,star,Gregory Peck
Pictura: An Adventure in Art,1951,star,Henry Fonda
Brief Moment,1933,star,Carole Lombard
Safety in Numbers (1930 film),1930,star,Carole Lombard
Safety in Numbers (1930 film),1930,director,Victor Schertzinger
I Will Walk Like a Crazy Horse,1973,star,Emmanuelle Riva
El Americano: The Movie,2016,star,Edward James Olmos
Some Bride,1919,cast,Irving Cummings
Bra Boys: Blood Is Thicker than Water,2007,cast,Russell Crowe
The Last Mile (1959 film),1959,star,Mickey Rooney
Vacanze a Ischia,1957,cast,Vittorio De Sica
Persistence of Vision (film),2012,cast,Robin Williams
Persistence of Vision (film),2012,cast,Robert Zemeckis
The Christmas Candle,2013,star,Lesley Manville
Breakfast at Sunrise,1927,star,Marie Dressler
Somebody to Love (1994 film),1994,star,Rosie Perez
Somebody to Love (1994 film),1994,star,Harvey Keitel
Somebody to Love (1994 film),1994,star,Anthony Quinn
Somebody to Love (1994 film),1994,star,Stanley Tucci
Somebody to Love (1994 film),1994,star,Quentin Tarantino
Somebody to Love (1994 film),1994,cast,Sam Rockwell
Deceptions II: Edge of Deception,1995,cast,Mariel Hemingway
It Pays to Advertise (1931 film),1931,star,Carole Lombard
Hackers (film),1995,star,Angelina Jolie
Hackers (film),1995,star,Lorraine Bracco
Hackers (film),1995,cast,Felicity Huffman
Nightcrawler (film),2014,star,Jake Gyllenhaal
Some Kind of Beautiful,2014,star,Salma Hayek
Some Kind of Beautiful,2014,cast,Marlee Matlin
Penitentiary (1938 film),1938,cast,Marjorie Main
Last Weekend (film),2014,star,Patricia Clarkson
Tramps (1983 film),1983,star,Elliott Gould
Chicago Cab,1997,star,Laurie Metcalf
Chicago Cab,1997,star,John C. Reilly
Chicago Cab,1997,star,Julianne Moore
Chicago Cab,1997,cast,Michael Shannon
Madame Bovary (2014 film),2014,star,Paul Giamatti
Alien Souls,1916,star,Sessue Hayakawa
’O Re,1989,star,Giancarlo Giannini
A Thousand Times Good Night,2013,star,Juliette Binoche
Great Transport,1983,star,Robert Vaughn
Come Out of the Kitchen,1919,cast,George Stevens
Prisoners of Love (1921 film),1921,star,Betty Compson
Spooks: The Greater Good,2015,star,Peter Firth
The Slim Princess,1920,director,Victor Schertzinger
"What Next, Corporal Hargrove?",1945,cast,Chill Wills
"See Here, Private Hargrove (film)",1944,star,Donna Reed
"See Here, Private Hargrove (film)",1944,cast,Chill Wills
"See Here, Private Hargrove (film)",1944,director,Wesley Ruggles
Willy/Milly,1986,star,Patty Duke
The Slim Princess (1915 film),1915,star,Wallace Beery
Anesthesia (2015 film),2015,star,Sam Waterston
Anesthesia (2015 film),2015,star,Glenn Close
Anesthesia (2015 film),2015,cast,Lucas Hedges
The Tribulations of Balthazar Kober,1988,star,Emmanuelle Riva
Joseph and the Amazing Technicolor Dreamcoat (film),1999,star,Richard Attenborough
The Bermuda Triangle (film),1978,star,John Huston
Redwood Highway (film),2013,star,Shirley Knight
The Rocket Man (film),1954,star,Charles Coburn
The Rocket Man (film),1954,star,Spring Byington
Seduced and Abandoned (2013 film),2013,cast,Ryan Gosling
Seduced and Abandoned (2013 film),2013,cast,Jessica Chastain
Seduced and Abandoned (2013 film),2013,cast,Martin Scorsese
Seduced and Abandoned (2013 film),2013,cast,Alec Baldwin
Seduced and Abandoned (2013 film),2013,cast,James Caan
Seduced and Abandoned (2013 film),2013,cast,Roman Polanski
Seduced and Abandoned (2013 film),2013,cast,Francis Ford Coppola
Seduced and Abandoned (2013 film),2013,cast,Bérénice Bejo
Seduced and Abandoned (2013 film),2013,cast,Bernardo Bertolucci
Le Dernier Diamant,2014,star,Bérénice Bejo
The Magic Pudding (film),2000,star,Geoffrey Rush
The Magic Pudding (film),2000,star,Toni Collette
Calling Dr. Kildare,1939,star,Lionel Barrymore
Calling Dr. Kildare,1939,cast,Lew Ayres
Calling Dr. Kildare,1939,cast,Lana Turner
Seven Sweethearts,1942,star,Van Heflin
Seven Sweethearts,1942,director,Frank Borzage
Highpoint (film),1982,star,Richard Harris
Highpoint (film),1982,star,Christopher Plummer
Leave All Fair,1985,star,John Gielgud
Castello Cavalcanti,2013,director,Wes Anderson
Cuban Fury,2014,cast,Olivia Colman
Sea of Lost Ships,1953,star,Walter Brennan
Sea of Lost Ships,1953,cast,Richard Jaeckel
Sea of Lost Ships,1953,cast,Tom Tully
The Last Posse,1953,star,Broderick Crawford
The Last Posse,1953,star,Charles Bickford
